CreatedDate,pm25_IIIT050,pm10_IIIT050,aqi_IIIT050,co_IIIT050
24-10-2019 09:05:00,10.8,38.6,38.6,0
24-10-2019 09:10:00,11,36.8,36.8,0
24-10-2019 09:15:00,9.2,33,33,0
24-10-2019 09:20:00,8.4,36,36,0
24-10-2019 09:25:00,7.4,31,31,0
24-10-2019 09:30:00,6.6,29.2,29.2,0
24-10-2019 09:35:00,6.2,32.8,32.8,0
24-10-2019 09:40:00,5.2,25.2,25.2,0
24-10-2019 09:45:00,5.2,21,21,0
24-10-2019 09:50:00,6,27,27,0
24-10-2019 09:55:00,7,33.4,33.4,0
24-10-2019 10:00:00,6.2,28.2,28.2,0
24-10-2019 10:05:00,7.4,37.2,37.2,0
24-10-2019 10:10:00,8,46.2,46.2,0
24-10-2019 10:15:00,5.8,26,26,0
24-10-2019 10:20:00,7.4,43.4,43.4,0
24-10-2019 10:25:00,7.8,40.8,40.8,0
24-10-2019 10:30:00,6.2,31,31,0
24-10-2019 10:35:00,7.8,39,39,0
24-10-2019 10:40:00,8.8,61,58.2,0
24-10-2019 10:45:00,10.6,54.2,53,0
24-10-2019 10:50:00,5.6,21.6,21.6,0
24-10-2019 10:55:00,6.6,37.2,37.2,0
24-10-2019 11:00:00,12.4,48,48,0
24-10-2019 11:05:00,13.2,72.8,71.8,0
24-10-2019 11:10:00,6.4,26.4,26.4,0
24-10-2019 11:15:00,5.8,32,32,0
24-10-2019 11:20:00,6,29.75,29.75,0
24-10-2019 11:25:00,5.4,25.8,25.8,0
24-10-2019 11:30:00,5.8,28.2,28.2,0
24-10-2019 11:35:00,5,20.8,20.8,0
24-10-2019 11:40:00,6.4,37.4,37.4,0
24-10-2019 11:45:00,5,22.4,22.4,0
24-10-2019 11:50:00,6,28.2,28.2,0
24-10-2019 11:55:00,8.2,39.6,38.8,0
24-10-2019 12:00:00,5.6,29.6,29.6,0
24-10-2019 12:05:00,5.2,23.6,23.6,0
24-10-2019 12:10:00,7.2,54,54,0
24-10-2019 12:15:00,6.2,40.8,40.8,0
24-10-2019 12:20:00,4.8,27.4,27.4,0
24-10-2019 12:25:00,5.6,34.2,34.2,0
24-10-2019 12:30:00,4.8,26.2,26.2,0
24-10-2019 12:35:00,3.8,19.6,19.6,0
24-10-2019 12:40:00,2.6,14,14,0
24-10-2019 12:45:00,2,13.4,13.4,0
24-10-2019 12:50:00,2,13.2,13.2,0
24-10-2019 12:55:00,2.6,15.4,15.4,0
24-10-2019 13:00:00,5.6,17.4,17.4,0
24-10-2019 13:05:00,5.25,20.5,20.5,0
24-10-2019 13:10:00,3.4,16.4,16.4,0
24-10-2019 13:15:00,3,13.6,13.6,0
24-10-2019 13:20:00,3,13.8,13.8,0
24-10-2019 13:25:00,2.2,11.6,11.6,0
24-10-2019 13:30:00,2,11.8,11.8,0
24-10-2019 13:35:00,2.6,12,12,0
24-10-2019 13:40:00,2.8,14.4,14.4,0
24-10-2019 13:45:00,2.4,11.2,11.2,0
24-10-2019 13:50:00,2.6,11.6,11.6,0
24-10-2019 13:55:00,2.6,10.4,10.4,0
24-10-2019 14:00:00,3.6,11.4,11.4,0
24-10-2019 14:05:00,3.2,13.4,13.4,0
24-10-2019 14:10:00,4.2,14,14,0
24-10-2019 14:15:00,2.6,12,12,0
24-10-2019 14:20:00,3,12.8,12.8,0
24-10-2019 14:25:00,2.4,11.6,11.6,0
24-10-2019 14:30:00,2.4,10.4,10.4,0
24-10-2019 14:35:00,3.4,13.8,13.8,0
24-10-2019 14:40:00,3.4,14.6,14.6,0
24-10-2019 14:45:00,3.6,18,18,0
24-10-2019 14:50:00,3.6,16.8,16.8,0
24-10-2019 14:55:00,5,17.6,17.6,0
24-10-2019 15:00:00,4.4,18,18,0
24-10-2019 15:05:00,4.2,18.2,18.2,0
24-10-2019 15:10:00,5.8,29.2,29.2,3.8
24-10-2019 15:15:00,6.2,24.6,24.6,0
24-10-2019 15:20:00,10,34.6,34.6,0
24-10-2019 15:25:00,10.6,48.2,48.2,0
24-10-2019 15:30:00,7,33.2,33.2,482
24-10-2019 15:35:00,8.4,31,31,0
24-10-2019 15:40:00,8.6,36.8,36.8,0
24-10-2019 15:45:00,7.2,31.8,31.8,0
24-10-2019 15:50:00,5.6,28.6,28.6,0
24-10-2019 15:55:00,5.2,24.8,24.8,0
24-10-2019 16:00:00,6.2,29,29,0
24-10-2019 16:05:00,5.6,27,27,0
24-10-2019 16:10:00,5,25.5,25.5,0
24-10-2019 16:15:00,5.6,27.8,27.8,0
24-10-2019 16:20:00,4.6,24.8,24.8,0
24-10-2019 16:25:00,3.8,19.4,19.4,0
24-10-2019 16:30:00,4.4,21.8,21.8,0
24-10-2019 16:35:00,4,18.8,18.8,0
24-10-2019 16:40:00,3.8,17.4,17.4,0
24-10-2019 16:45:00,4.4,19,19,0
24-10-2019 16:50:00,4,17.4,17.4,0
24-10-2019 16:55:00,3.6,16.6,16.6,0
24-10-2019 17:00:00,3,13.6,13.6,0
24-10-2019 17:05:00,3.2,15.2,15.2,0
24-10-2019 17:10:00,3,15.2,15.2,0
24-10-2019 17:15:00,3.2,16.4,16.4,0
24-10-2019 17:20:00,3.4,16.4,16.4,0
24-10-2019 17:25:00,3.2,16.2,16.2,0
24-10-2019 17:30:00,3,15.6,15.6,0
24-10-2019 17:35:00,3.8,17.4,17.4,0
24-10-2019 17:40:00,4.2,18.4,18.4,0
24-10-2019 17:45:00,3.8,20.2,20.2,0
24-10-2019 17:50:00,4,18.6,18.6,0
24-10-2019 17:55:00,4,19,19,0
24-10-2019 18:00:00,4.2,18,18,0
24-10-2019 18:05:00,4.2,17.6,17.6,0
24-10-2019 18:10:00,3,14.4,14.4,0
24-10-2019 18:15:00,3,14.4,14.4,0
24-10-2019 18:20:00,3,14.2,14.2,0
24-10-2019 18:25:00,3.2,15,15,0
24-10-2019 18:30:00,3,15.8,15.8,0
24-10-2019 18:35:00,8,20.6,20.6,0
24-10-2019 18:40:00,17,35,35,0
24-10-2019 18:45:00,3.8,17.2,17.2,0
24-10-2019 18:50:00,3.2,16.2,16.2,0
24-10-2019 18:55:00,3,14.4,14.4,0
24-10-2019 19:00:00,3,12.8,12.8,0
24-10-2019 19:05:00,3,13,13,0
24-10-2019 19:10:00,3,13.2,13.2,0
24-10-2019 19:15:00,3,14.4,14.4,0
24-10-2019 19:20:00,3,14.4,14.4,0
24-10-2019 19:25:00,4.4,17.4,17.4,0
24-10-2019 19:30:00,3.8,16.6,16.6,0
24-10-2019 19:35:00,4.2,16,16,0
24-10-2019 19:40:00,4,16.8,16.8,0
24-10-2019 19:45:00,4,18,18,0
24-10-2019 19:50:00,3.6,16.8,16.8,0
24-10-2019 19:55:00,3.8,16.8,16.8,0
24-10-2019 20:00:00,3,15.4,15.4,0
24-10-2019 20:05:00,3.6,15.8,15.8,0
24-10-2019 20:10:00,3.6,15.8,15.8,0
24-10-2019 20:15:00,3.8,16.6,16.6,0
24-10-2019 20:20:00,3.2,14.8,14.8,0
24-10-2019 20:25:00,3,13.2,13.2,0
24-10-2019 20:30:00,3.4,13.2,13.2,0
24-10-2019 20:35:00,3,13.2,13.2,0
24-10-2019 20:40:00,3,14.4,14.4,0
24-10-2019 20:45:00,3,14.2,14.2,0
24-10-2019 20:50:00,3.6,18.6,18.6,0
24-10-2019 20:55:00,4,21.2,21.2,0
24-10-2019 21:00:00,4,18.2,18.2,0
24-10-2019 21:05:00,4.2,21.4,21.4,0
24-10-2019 21:10:00,5.8,27.4,27.4,0
24-10-2019 21:15:00,5.6,29.4,29.4,0
24-10-2019 21:20:00,4,22.8,22.8,0
24-10-2019 21:25:00,4.4,24.8,24.8,0
24-10-2019 21:30:00,6,26,26,0
24-10-2019 21:35:00,5.2,25.2,25.2,0
24-10-2019 21:40:00,4.6,24.4,24.4,0
24-10-2019 21:45:00,4.6,22.6,22.6,0
