,CreatedDate,pm25_IIIT-050,pm10_IIIT-050,aqi_IIIT-050,co_IIIT-050
137,24-10-2019 11:22,54,532,407,0
243,24-10-2019 13:08,26,37,43,0
574,24-10-2019 18:40,584,668,445,0
575,24-10-2019 18:41,349,392,413,0
576,24-10-2019 18:42,234,263,387,0
746,24-10-2019 21:32,31,42,51,0
1313,25-10-2019 07:01,31,43,51,0
1350,25-10-2019 07:38,44,53,72,0
1687,25-10-2019 13:16,56,62,93,0
1899,25-10-2019 16:48,72,80,138,0
2502,26-10-2019 02:53,18,183,155,0
2933,26-10-2019 10:05,15,153,135,0
3118,26-10-2019 13:11,47,52,78,0
3217,26-10-2019 14:50,45,317,267,0
3484,26-10-2019 19:18,415,454,422,0
3485,26-10-2019 19:19,999,1976,500,0
3486,26-10-2019 19:20,777,844,470,0
3487,26-10-2019 19:22,226,250,381,0
3488,26-10-2019 19:23,52,58,86,0
3489,26-10-2019 19:24,41,46,67,0
3490,26-10-2019 19:25,29,38,48,0
4330,27-10-2019 10:44,54,386,344,0
4963,27-10-2019 22:15,177,294,343,0
4974,27-10-2019 22:26,202,318,363,0
5063,27-10-2019 23:58,237,365,390,0
5263,28-10-2019 03:28,207,325,367,0
5272,28-10-2019 03:38,184,291,349,0
5273,28-10-2019 03:40,180,291,346,0
8013,30-10-2019 12:27,78,394,354,0
8390,30-10-2019 19:16,62,397,358,0
8585,30-10-2019 22:40,36,240,193,0
9206,31-10-2019 09:55,51,281,231,0
9246,31-10-2019 10:37,39,237,191,0
9318,31-10-2019 11:57,52,329,279,0
9343,31-10-2019 12:26,26,199,166,0
9399,31-10-2019 13:24,28,243,195,0
10516,01-11-2019 09:28,71,399,361,0
10541,01-11-2019 09:54,63,336,286,0
10566,01-11-2019 10:22,63,337,287,0
10592,01-11-2019 10:50,67,341,291,0
11913,02-11-2019 11:04,84,715,418,0
11914,02-11-2019 11:05,61,467,403,0
11915,02-11-2019 11:06,103,874,428,0
11916,02-11-2019 11:07,65,388,347,0
11929,02-11-2019 11:23,53,310,260,0
11930,02-11-2019 11:24,64,457,402,0
11931,02-11-2019 11:25,102,824,425,0
11936,02-11-2019 11:30,53,277,227,0
11960,02-11-2019 11:57,66,540,407,0
12003,02-11-2019 12:41,66,375,331,0
12185,02-11-2019 16:00,50,274,224,0
12237,02-11-2019 16:53,39,237,191,0
12610,02-11-2019 23:45,64,324,274,0
12621,02-11-2019 23:57,59,305,255,0
13105,03-11-2019 08:47,64,302,252,0
13110,03-11-2019 08:53,69,363,316,0
13118,03-11-2019 09:02,68,300,250,0
13147,03-11-2019 09:35,72,337,287,0
13365,03-11-2019 13:30,64,355,306,0
13368,03-11-2019 13:33,62,358,309,0
13378,03-11-2019 13:44,75,504,405,0
13379,03-11-2019 13:45,79,598,411,0
13387,03-11-2019 13:53,63,328,278,0
13756,03-11-2019 20:32,77,354,304,0
13770,03-11-2019 20:48,157,869,428,0
13775,03-11-2019 20:54,71,303,253,0
14367,04-11-2019 07:41,135,410,374,0
14368,04-11-2019 07:42,129,423,391,0
14401,04-11-2019 08:17,139,459,402,0
14406,04-11-2019 08:23,117,391,351,0
14481,04-11-2019 09:49,140,443,401,0
14485,04-11-2019 09:53,118,417,383,0
14486,04-11-2019 09:54,107,315,265,0
14490,04-11-2019 09:59,121,443,401,0
14491,04-11-2019 10:00,124,399,361,0
14492,04-11-2019 10:01,120,352,302,0
14532,04-11-2019 10:48,111,383,341,0
15637,05-11-2019 06:49,184,328,349,0
15643,05-11-2019 06:57,171,369,339,0
15655,05-11-2019 07:10,184,328,349,0
15656,05-11-2019 07:11,183,336,348,0
15659,05-11-2019 07:14,174,334,341,0
15660,05-11-2019 07:15,178,334,344,0
15697,05-11-2019 07:57,145,320,319,0
15700,05-11-2019 08:01,275,366,404,0
15725,05-11-2019 08:30,141,338,316,0
15795,05-11-2019 09:43,121,498,405,0
15820,05-11-2019 10:10,138,332,314,0
16863,06-11-2019 05:05,177,270,343,0
16933,06-11-2019 06:22,170,354,338,0
17001,06-11-2019 07:34,182,276,347,0
17004,06-11-2019 07:38,188,268,352,0
17005,06-11-2019 07:39,186,268,350,0
17006,06-11-2019 07:40,186,252,350,0
17064,06-11-2019 08:42,186,244,350,0
17139,06-11-2019 10:03,138,322,314,0
17147,06-11-2019 10:12,136,328,312,0
17160,06-11-2019 10:25,140,375,331,0
17245,06-11-2019 11:59,151,527,407,0
17253,06-11-2019 12:08,192,237,355,0
17254,06-11-2019 12:09,131,439,401,0
17620,06-11-2019 18:47,269,338,403,0
18315,07-11-2019 07:26,219,241,376,0
18441,07-11-2019 09:40,193,661,415,0
18442,07-11-2019 09:41,180,593,411,0
18443,07-11-2019 09:42,136,506,405,0
18793,07-11-2019 16:02,109,532,407,0
19238,08-11-2019 00:12,121,326,301,0
19249,08-11-2019 00:23,140,516,406,0
19677,08-11-2019 08:04,166,515,406,0
19748,08-11-2019 09:23,348,1135,445,0
19749,08-11-2019 09:24,157,369,328,0
19751,08-11-2019 09:27,204,630,413,0
19752,08-11-2019 09:28,160,496,405,0
19753,08-11-2019 09:29,228,674,416,0
19754,08-11-2019 09:30,153,500,405,0
19756,08-11-2019 09:32,152,516,406,0
19757,08-11-2019 09:33,135,328,311,0
19759,08-11-2019 09:35,139,379,336,0
20389,08-11-2019 21:14,138,369,323,0
20495,08-11-2019 23:11,171,516,406,0
21427,09-11-2019 16:03,112,332,282,0
22185,10-11-2019 05:41,155,314,327,0
26666,13-11-2019 14:54,121,516,406,0
30484,16-11-2019 12:26,102,351,301,0
30886,16-11-2019 19:40,999,1004,500,0
33047,18-11-2019 11:08,145,863,428,0
35620,20-11-2019 09:43,169,802,424,0
35621,20-11-2019 09:44,169,802,424,0
35654,20-11-2019 10:20,129,326,307,0
35657,20-11-2019 10:23,127,311,305,0
35658,20-11-2019 10:24,131,355,308,0
35677,20-11-2019 10:44,126,386,344,0
35679,20-11-2019 10:46,139,554,408,0
35680,20-11-2019 10:47,148,635,413,0
35681,20-11-2019 10:48,160,759,421,0
36365,20-11-2019 23:07,133,413,378,0
37044,21-11-2019 11:22,117,384,342,0
37683,21-11-2019 22:51,117,391,351,0
