,created_at,temp,hum,p25,p10
46,2019-10-26 16:18:10,29.0,65.6,3.5,22.4
2664,2019-10-27 10:43:28,32.6,62.1,21.7,154.60001
2665,2019-10-27 10:43:51,32.7,61.9,39.9,333.39999
2666,2019-10-27 10:44:13,32.9,62.1,34.8,300.0
2667,2019-10-27 10:44:36,33.0,60.9,15.9,105.5
2668,2019-10-27 10:45:00,33.0,60.6,21.8,149.10001
2669,2019-10-27 10:45:23,33.2,60.7,19.1,132.89999
4340,2019-10-27 21:31:17,25.4,91.1,150.0,168.5
4352,2019-10-27 21:35:57,25.5,91.4,135.39999,151.8
4365,2019-10-27 21:40:59,25.4,91.3,161.0,192.3
4368,2019-10-27 21:42:08,25.4,91.4,159.7,179.2
4389,2019-10-27 21:50:14,25.4,91.3,165.5,190.39999
4400,2019-10-27 21:54:29,25.2,91.3,184.0,214.10001
4414,2019-10-27 21:59:51,25.4,91.4,184.3,216.5
4426,2019-10-27 22:04:31,25.4,91.3,191.5,227.2
4433,2019-10-27 22:07:12,25.3,91.4,195.2,231.89999
4438,2019-10-27 22:09:08,25.3,91.5,202.3,230.0
4450,2019-10-27 22:13:46,25.4,91.6,209.0,237.89999
4455,2019-10-27 22:15:43,25.3,91.6,222.10001,249.2
4460,2019-10-27 22:17:39,25.3,91.6,217.60001,252.60001
4497,2019-10-27 22:32:00,25.3,91.9,282.5,322.29999
4522,2019-10-27 22:41:37,25.3,91.7,289.79999,332.89999
4563,2019-10-27 22:57:35,25.3,91.8,321.60001,364.5
4691,2019-10-27 23:47:10,25.1,92.4,288.79999,329.20001
4813,2019-10-28 00:34:24,24.9,92.9,300.29999,347.79999
4820,2019-10-28 00:37:06,24.9,93.0,300.29999,345.39999
4835,2019-10-28 00:42:53,24.9,93.1,312.60001,356.39999
4836,2019-10-28 00:43:16,25.1,93.1,309.89999,352.0
4838,2019-10-28 00:44:02,24.9,93.1,314.29999,357.89999
4839,2019-10-28 00:44:25,24.9,93.1,313.29999,356.0
4842,2019-10-28 00:45:34,24.9,93.2,309.60001,352.0
4843,2019-10-28 00:45:57,24.8,93.1,311.39999,354.5
4848,2019-10-28 00:47:54,24.9,93.2,314.20001,359.89999
4849,2019-10-28 00:48:17,25.0,93.3,322.39999,376.0
4850,2019-10-28 00:48:39,24.9,93.2,326.70001,384.39999
4852,2019-10-28 00:49:28,24.9,93.2,337.5,386.29999
4925,2019-10-28 01:17:39,24.9,93.0,354.10001,405.29999
4934,2019-10-28 01:21:06,24.6,92.8,355.20001,405.29999
4942,2019-10-28 01:24:11,24.7,93.1,341.29999,400.0
4973,2019-10-28 01:36:12,24.6,93.3,348.0,397.0
5033,2019-10-28 01:59:17,24.8,93.3,324.20001,367.39999
5082,2019-10-28 02:18:10,24.7,93.3,302.70001,346.5
5087,2019-10-28 02:20:05,24.7,93.3,304.10001,346.10001
5210,2019-10-28 03:07:28,24.6,93.4,272.5,309.79999
5279,2019-10-28 03:34:01,24.6,94.2,226.60001,258.5
5281,2019-10-28 03:34:47,24.5,94.1,227.0,254.7
5283,2019-10-28 03:35:34,24.6,94.3,215.10001,243.5
5285,2019-10-28 03:36:19,24.6,94.2,221.10001,247.60001
5288,2019-10-28 03:37:28,24.6,94.2,215.60001,242.2
5294,2019-10-28 03:39:46,24.7,94.2,206.89999,237.7
5297,2019-10-28 03:40:56,24.7,94.2,190.2,213.5
5317,2019-10-28 03:48:36,24.7,94.2,180.3,209.2
5340,2019-10-28 03:57:23,24.7,94.4,159.2,179.8
5343,2019-10-28 03:58:33,24.8,94.6,152.8,184.0
5344,2019-10-28 03:58:56,24.4,94.4,153.39999,180.60001
6911,2019-10-28 14:06:22,31.5,64.3,40.0,181.0
7763,2019-10-28 19:38:14,27.1,80.3,218.7,236.8
10496,2019-10-29 13:20:45,30.4,66.5,25.2,135.8
10744,2019-10-29 14:58:09,28.7,69.4,19.5,106.0
10746,2019-10-29 14:58:56,28.3,69.1,20.9,135.3
10747,2019-10-29 14:59:20,28.5,70.0,15.8,97.4
11319,2019-10-29 18:44:36,25.4,90.3,873.5999800000001,1006.9000199999999
11320,2019-10-29 18:44:59,25.4,90.5,759.2000099999999,838.59998
11321,2019-10-29 18:45:24,25.4,90.2,482.5,520.90002
11322,2019-10-29 18:45:47,25.5,90.4,785.5,851.0999800000001
11323,2019-10-29 18:46:11,25.5,90.5,652.7000099999999,704.59998
11324,2019-10-29 18:46:35,25.5,90.7,999.9000199999999,1267.69995
11325,2019-10-29 18:46:59,25.5,90.9,913.5999800000001,1019.0
11326,2019-10-29 18:47:23,25.4,91.2,698.7999900000001,766.59998
11327,2019-10-29 18:47:46,25.4,90.9,546.2999900000001,594.0
11328,2019-10-29 18:48:10,25.4,90.5,260.29999,284.0
14988,2019-11-02 12:40:03,30.8,65.3,63.8,334.20001
15611,2019-11-02 16:40:57,29.7,61.8,24.6,123.4
18176,2019-11-03 09:12:24,29.3,73.9,80.9,409.70001
18841,2019-11-03 13:29:53,31.0,59.4,61.8,356.89999
18848,2019-11-03 13:32:35,30.8,57.5,65.2,372.79999
18877,2019-11-03 13:43:48,31.5,58.4,61.1,332.79999
18878,2019-11-03 13:44:11,31.4,58.1,77.9,474.29999000000004
18879,2019-11-03 13:44:34,31.4,58.4,89.1,550.40002
18886,2019-11-03 13:47:17,31.5,58.1,42.7,219.39999
18901,2019-11-03 13:53:08,31.2,58.5,39.9,199.3
18932,2019-11-03 14:05:09,31.4,57.9,45.8,255.39999
19973,2019-11-03 20:48:04,27.3,81.6,88.3,403.70001
