,Unnamed: 0,created_at,temp,hum,p25,p10
72,353,2019-12-14 18:24:03,28.3,80.0,38.4,41.8
73,354,2019-12-14 18:24:06,28.3,80.0,38.6,42.0
232,513,2019-12-14 18:56:04,26.6,75.2,24.8,26.5
82917,83198,2019-12-20 12:25:02,26.7,66.0,53.4,137.60001
82918,83199,2019-12-20 12:25:05,26.7,66.0,61.4,226.5
82919,83200,2019-12-20 12:25:09,26.7,66.0,62.3,241.2
82920,83201,2019-12-20 12:25:12,26.7,66.0,62.7,242.39999
82921,83202,2019-12-20 12:25:15,26.7,66.0,62.4,243.2
82922,83203,2019-12-20 12:25:18,26.7,66.0,61.5,242.89999
114186,114467,2019-12-21 16:23:43,27.6,74.2,89.9,99.8
114189,114470,2019-12-21 16:23:53,27.6,74.3,95.7,106.3
114190,114471,2019-12-21 16:23:56,27.6,74.4,96.3,106.7
114192,114473,2019-12-21 16:24:03,27.5,74.4,89.3,98.7
114193,114474,2019-12-21 16:24:06,27.5,74.5,89.6,99.1
114196,114477,2019-12-21 16:24:15,27.5,74.6,86.1,94.9
114198,114479,2019-12-21 16:24:22,27.4,74.6,85.7,94.5
155759,156040,2019-12-23 08:22:06,20.4,90.7,126.0,167.3
156640,156921,2019-12-23 09:23:30,21.9,84.5,96.4,182.60001
156641,156922,2019-12-23 09:23:34,21.9,84.3,97.2,190.89999
156642,156923,2019-12-23 09:23:38,21.9,84.2,97.3,190.8
156643,156924,2019-12-23 09:23:43,21.9,84.1,97.7,186.5
156644,156925,2019-12-23 09:23:47,21.9,84.2,98.9,188.2
156645,156926,2019-12-23 09:23:51,21.9,84.2,100.0,187.2
156646,156927,2019-12-23 09:23:55,21.9,84.2,98.3,173.7
165746,166027,2019-12-23 19:59:16,23.5,68.4,100.3,122.6
165880,166161,2019-12-23 20:08:34,23.3,69.9,101.1,119.6
165881,166162,2019-12-23 20:08:38,23.3,69.9,100.7,119.4
165882,166163,2019-12-23 20:08:42,23.3,69.9,100.6,121.6
166472,166753,2019-12-23 20:49:45,23.0,73.4,104.1,124.9
166604,166885,2019-12-23 20:58:54,22.9,74.2,108.4,133.10001
166738,167019,2019-12-23 21:08:17,22.9,74.2,109.1,132.3
166796,167077,2019-12-23 21:12:19,22.8,75.0,108.5,133.3
166856,167137,2019-12-23 21:16:29,22.8,75.3,109.2,133.39999
166959,167240,2019-12-23 21:23:37,22.8,75.7,108.7,132.7
184776,185057,2019-12-24 18:04:33,25.5,62.3,68.3,139.8
184777,185058,2019-12-24 18:04:37,25.5,62.3,68.6,141.10001
194399,194680,2019-12-25 05:14:45,20.4,96.1,127.8,195.8
218346,218627,2019-12-26 09:04:23,22.9,85.8,69.5,131.39999
218348,218629,2019-12-26 09:04:31,23.0,85.8,70.1,137.10001
218349,218630,2019-12-26 09:04:35,23.0,85.8,69.8,135.8
218350,218631,2019-12-26 09:04:39,23.0,85.8,70.2,136.3
218585,218866,2019-12-26 09:20:59,22.6,87.2,73.5,141.10001
218586,218867,2019-12-26 09:21:03,22.6,87.2,74.1,146.8
218587,218868,2019-12-26 09:21:07,22.6,87.2,74.9,154.8
218588,218869,2019-12-26 09:21:12,22.6,87.2,75.3,165.60001
218593,218874,2019-12-26 09:21:32,22.7,87.1,74.7,165.7
218594,218875,2019-12-26 09:21:36,22.7,87.1,74.4,158.89999
218595,218876,2019-12-26 09:21:41,22.6,87.1,73.1,148.7
218596,218877,2019-12-26 09:21:45,22.7,87.1,73.5,142.5
