created_at,temp,hum,p25,p10
2020-01-22 11:55:56,30.5,75,4.5,13.2
NaT,30.5,75,4.8,10.1
NaT,25.3,88.1,51.5,80.5
NaT,26.6,86.8,46.9,64.4
NaT,26.7,86.3,58.4,81.3
NaT,27.2,87.2,61,93.8
NaT,28.9,92.2,13.5,23.9
NaT,28.3,73.6,13.3,24.7
NaT,30.6,66.1,8.3,19.9
NaT,30.1,64.6,14.7,25.8
NaT,30,65.5,13.5,22.8
NaT,29.1,76.2,10,17.5
NaT,29,76.1,10.5,19.8
NaT,28.8,74.3,10.6,20.4
NaT,29.6,65.1,11.5,39.1
NaT,29.6,65.3,11.4,38.9
NaT,25.5,85.5,31.5,61.6
NaT,25.5,85.8,31.3,73.4
NaT,29.3,70,39.9,58.2
NaT,29.3,70.1,39.4,58.5
NaT,33.9,54.9,26.9,55.5
NaT,33.9,54,27,54.8
NaT,34,54.1,26.2,57.4
NaT,37.2,46.1,21.2,34.5
NaT,33.8,51.5,21.5,37.5
NaT,34.6,50.9,22,42
NaT,34.5,50.4,21.1,40.6
NaT,34.4,50.5,20.6,37.1
NaT,27.1,84,53.6,88.4
NaT,27,83.5,54.7,87.4
NaT,37.1,38,41.8,47.1
NaT,38.8,34.7,37.9,53.8
NaT,32.1,47,43.2,63.5
NaT,30.5,52.6,46.4,72
NaT,27.9,64.8,75.5,98.6
NaT,33.4,45.4,73.3,83.7
NaT,24.3,87.5,171.89999,302.29999
NaT,29.1,70,134.60001,208
NaT,30.6,59.4,124.6,156.60001
NaT,30.6,59.8,139.60001,164.89999
NaT,30.6,59.8,143.89999,167.7
NaT,30.7,59.6,133.39999,159.3
NaT,30.7,59.6,130.89999,158.89999
NaT,30.7,59.5,134.2,158.5
NaT,30.8,59.9,128.89999,152.10001
NaT,31.5,57.3,77.4,97.4
NaT,32.4,53.1,72.3,90.5
NaT,28.4,69.5,153.8,177.5
NaT,26.3,77.5,125.3,169.2
NaT,31.3,71.7,114,149.7
NaT,31,64.1,94.3,176.39999
NaT,29.4,70.7,109.7,143.8
NaT,28.8,74.4,108.6,156.39999
NaT,28.9,74.2,109.7,159.10001
NaT,28.5,73.9,126.6,171.3
NaT,28.4,73.9,125.7,169.3
NaT,29.6,70.2,82.5,142.7
NaT,29.5,70.1,84.3,151.3
NaT,29.4,70.2,84,152.8
NaT,28.4,73.4,73.1,116.6
NaT,28.2,74.3,62.1,95.7
NaT,28.7,67.7,114.4,151.7
NaT,28.7,67.5,113.7,154.60001
NaT,28.7,67.5,116.4,162.89999
NaT,28.7,67.5,113.5,160.10001
NaT,29.3,65.1,91.8,138
NaT,29.3,64.9,92,152.3
NaT,29.3,64.6,92,136.7
NaT,29.2,64.2,80.3,134.7
NaT,28.9,63.8,106.9,158.39999
NaT,28.8,65.7,132.10001,158.10001
NaT,28.7,65.7,130.60001,156.89999
NaT,28.6,68.6,114.8,152.60001
NaT,27.1,72.3,73,114.4
NaT,26.9,70.7,73.3,96.3
NaT,26.8,72.8,80.6,113.7
NaT,27,71.4,77,94.5
